scale_id,station_family,kind,events,median_weight_g,p90_weight_g,heavy_flag_events_b02,heavy_flag_rate_pct
koti2-oikea-lammin1,koti2,hot (lammin),320,182.5,380.5,0,0.0
koti2-oikea-lammin2,koti2,hot (lammin),277,158.0,454.2,1,0.36
koti2-oikea-lammin3,koti2,hot (lammin),146,137.5,315.5,0,0.0
koti2-oikea-lammin4,koti2,hot (lammin),208,146.0,329.4,0,0.0
koti2-oikea-lammin5,koti2,hot (lammin),141,145.0,225.0,0,0.0
koti2-oikea-lammin6,koti2,hot (lammin),81,148.0,528.0,0,0.0
koti2-oikea-salaatti1,koti2,cold (salaatti),592,40.5,90.9,0,0.0
koti2-oikea-salaatti2,koti2,cold (salaatti),549,41.0,94.0,0,0.0
koti2-oikea-salaatti3,koti2,cold (salaatti),470,53.0,104.0,0,0.0
koti2-oikea-salaatti4,koti2,cold (salaatti),371,50.0,103.0,0,0.0
koti2-vasen-lammin1,koti2,hot (lammin),187,174.0,357.6,0,0.0
koti2-vasen-lammin2,koti2,hot (lammin),182,199.0,426.7,1,0.55
koti2-vasen-lammin3,koti2,hot (lammin),98,152.0,302.1,0,0.0
koti2-vasen-lammin4,koti2,hot (lammin),172,147.5,314.8,0,0.0
koti2-vasen-lammin5,koti2,hot (lammin),113,163.0,304.0,0,0.0
koti2-vasen-lammin6,koti2,hot (lammin),67,169.0,416.4,0,0.0
koti2-vasen-salaatti1,koti2,cold (salaatti),438,39.0,75.6,0,0.0
koti2-vasen-salaatti2,koti2,cold (salaatti),383,40.0,82.0,1,0.26
koti2-vasen-salaatti3,koti2,cold (salaatti),317,51.0,97.4,0,0.0
koti2-vasen-salaatti4,koti2,cold (salaatti),284,52.5,113.7,0,0.0
vege2-lammin1,vege2,hot (lammin),205,128.0,252.2,0,0.0
vege2-lammin2,vege2,hot (lammin),245,245.0,414.2,0,0.0
vege2-lammin3,vege2,hot (lammin),67,240.0,376.0,0,0.0
vege2-lammin4,vege2,hot (lammin),166,112.5,242.0,0,0.0
vege2-lammin5,vege2,hot (lammin),246,155.0,320.0,0,0.0
vege2-lammin6,vege2,hot (lammin),162,93.0,251.1,0,0.0
vege2-salaatti1,vege2,cold (salaatti),526,38.0,93.5,0,0.0
vege2-salaatti2,vege2,cold (salaatti),508,45.0,97.0,0,0.0
vege2-salaatti3,vege2,cold (salaatti),460,56.0,105.3,0,0.0
vege2-salaatti4,vege2,cold (salaatti),379,53.0,116.4,0,0.0
