scale_identifier,service_date,jaccard,identical,disjoint,day_in_override_file
koti2-oikea-lammin1,2020-10-05,1.0,True,False,True
koti2-oikea-lammin1,2020-10-06,1.0,True,False,True
koti2-oikea-lammin1,2020-10-07,1.0,True,False,True
koti2-oikea-lammin1,2020-10-08,1.0,True,False,True
koti2-oikea-lammin1,2020-10-09,1.0,True,False,True
koti2-oikea-lammin1,2020-10-12,1.0,True,False,True
koti2-oikea-lammin1,2020-10-13,1.0,True,False,True
koti2-oikea-lammin1,2020-10-14,1.0,True,False,True
koti2-oikea-lammin1,2020-10-15,0.0,False,True,True
koti2-oikea-lammin1,2020-10-20,1.0,True,False,False
koti2-oikea-lammin1,2020-10-21,1.0,True,False,False
koti2-oikea-lammin1,2020-10-26,1.0,True,False,False
koti2-oikea-lammin1,2020-10-27,1.0,True,False,False
koti2-oikea-lammin1,2020-10-28,1.0,True,False,False
koti2-oikea-lammin1,2020-10-29,1.0,True,False,False
koti2-oikea-lammin1,2020-10-30,1.0,True,False,False
koti2-oikea-lammin1,2020-11-04,1.0,True,False,False
koti2-oikea-lammin1,2020-11-05,1.0,True,False,False
koti2-oikea-lammin1,2020-11-09,1.0,True,False,False
koti2-oikea-lammin1,2020-11-10,1.0,True,False,False
koti2-oikea-lammin1,2020-11-11,1.0,True,False,False
koti2-oikea-lammin1,2020-11-12,1.0,True,False,False
koti2-oikea-lammin2,2020-10-05,1.0,True,False,True
koti2-oikea-lammin2,2020-10-06,1.0,True,False,True
koti2-oikea-lammin2,2020-10-07,1.0,True,False,True
koti2-oikea-lammin2,2020-10-08,1.0,True,False,True
koti2-oikea-lammin2,2020-10-09,1.0,True,False,True
koti2-oikea-lammin2,2020-10-12,1.0,True,False,True
koti2-oikea-lammin2,2020-10-13,1.0,True,False,True
koti2-oikea-lammin2,2020-10-14,0.0,False,True,True
koti2-oikea-lammin2,2020-10-19,1.0,True,False,False
koti2-oikea-lammin2,2020-10-20,1.0,True,False,False
koti2-oikea-lammin2,2020-10-21,1.0,True,False,False
koti2-oikea-lammin2,2020-10-26,1.0,True,False,False
koti2-oikea-lammin2,2020-10-27,1.0,True,False,False
koti2-oikea-lammin2,2020-10-28,1.0,True,False,False
koti2-oikea-lammin2,2020-10-30,1.0,True,False,False
koti2-oikea-lammin2,2020-11-03,1.0,True,False,False
koti2-oikea-lammin2,2020-11-04,1.0,True,False,False
koti2-oikea-lammin2,2020-11-05,1.0,True,False,False
koti2-oikea-lammin2,2020-11-09,1.0,True,False,False
koti2-oikea-lammin2,2020-11-10,1.0,True,False,False
koti2-oikea-lammin2,2020-11-11,1.0,True,False,False
koti2-oikea-lammin2,2020-11-12,1.0,True,False,False
koti2-oikea-lammin3,2020-10-05,1.0,True,False,True
koti2-oikea-lammin3,2020-10-06,1.0,True,False,True
koti2-oikea-lammin3,2020-10-14,1.0,True,False,True
koti2-oikea-lammin3,2020-10-19,1.0,True,False,False
koti2-oikea-lammin3,2020-10-20,1.0,True,False,False
koti2-oikea-lammin3,2020-10-21,1.0,True,False,False
koti2-oikea-lammin3,2020-10-27,1.0,True,False,False
koti2-oikea-lammin3,2020-10-28,0.5,False,False,False
koti2-oikea-lammin3,2020-10-29,1.0,True,False,False
koti2-oikea-lammin3,2020-11-02,1.0,True,False,False
koti2-oikea-lammin3,2020-11-03,1.0,True,False,False
koti2-oikea-lammin3,2020-11-04,1.0,True,False,False
koti2-oikea-lammin3,2020-11-05,1.0,True,False,False
koti2-oikea-lammin3,2020-11-09,1.0,True,False,False
koti2-oikea-lammin3,2020-11-12,1.0,True,False,False
koti2-oikea-lammin4,2020-10-06,1.0,True,False,True
koti2-oikea-lammin4,2020-10-09,0.0,False,True,True
koti2-oikea-lammin4,2020-10-12,1.0,True,False,True
koti2-oikea-lammin4,2020-10-13,1.0,True,False,True
koti2-oikea-lammin4,2020-10-14,1.0,True,False,True
koti2-oikea-lammin4,2020-10-16,1.0,True,False,True
koti2-oikea-lammin4,2020-10-19,1.0,True,False,False
koti2-oikea-lammin4,2020-10-20,1.0,True,False,False
