service_date,population,sessions,events,single_event_pct,median_weight,weekday
2020-10-05,non_registered_export,53,104,50.9,183.0,Monday
2020-10-05,registered_export,41,185,4.9,516.0,Monday
2020-10-06,non_registered_export,58,141,39.7,218.5,Tuesday
2020-10-06,registered_export,51,279,0.0,480.0,Tuesday
2020-10-07,non_registered_export,46,103,45.7,114.0,Wednesday
2020-10-07,registered_export,65,288,0.0,472.0,Wednesday
2020-10-08,non_registered_export,45,100,37.8,273.0,Thursday
2020-10-08,registered_export,9,44,0.0,677.0,Thursday
2020-10-09,non_registered_export,63,155,39.7,193.0,Friday
2020-10-09,registered_export,4,21,0.0,504.0,Friday
2020-10-12,non_registered_export,43,105,32.6,232.0,Monday
2020-10-12,registered_export,61,306,0.0,508.0,Monday
2020-10-13,non_registered_export,62,159,33.9,183.5,Tuesday
2020-10-13,registered_export,75,377,0.0,423.0,Tuesday
2020-10-14,non_registered_export,67,182,29.9,192.0,Wednesday
2020-10-14,registered_export,71,389,0.0,495.0,Wednesday
2020-10-15,non_registered_export,65,161,38.5,271.0,Thursday
2020-10-15,registered_export,2,7,0.0,352.0,Thursday
2020-10-16,non_registered_export,43,97,44.2,250.0,Friday
2020-10-16,registered_export,6,29,0.0,465.0,Friday
2020-10-19,non_registered_export,41,92,34.1,119.0,Monday
2020-10-19,registered_export,86,451,0.0,513.0,Monday
2020-10-20,non_registered_export,64,170,28.1,218.0,Tuesday
2020-10-20,registered_export,87,470,1.1,517.0,Tuesday
2020-10-21,non_registered_export,57,152,33.3,277.0,Wednesday
2020-10-21,registered_export,70,359,0.0,489.0,Wednesday
2020-10-22,non_registered_export,66,157,36.4,126.5,Thursday
2020-10-22,registered_export,5,26,0.0,648.0,Thursday
2020-10-23,non_registered_export,62,127,38.7,168.5,Friday
2020-10-23,registered_export,10,46,0.0,518.0,Friday
2020-10-26,non_registered_export,47,122,29.8,244.0,Monday
2020-10-26,registered_export,88,399,1.1,498.0,Monday
2020-10-27,non_registered_export,56,149,28.6,319.0,Tuesday
2020-10-27,registered_export,100,523,0.0,469.0,Tuesday
2020-10-28,non_registered_export,54,127,40.7,166.5,Wednesday
2020-10-28,registered_export,88,388,2.3,506.5,Wednesday
2020-10-29,non_registered_export,75,189,41.3,181.0,Thursday
2020-10-29,registered_export,7,39,0.0,580.0,Thursday
2020-10-30,non_registered_export,58,134,39.7,158.0,Friday
2020-10-30,registered_export,12,47,8.3,477.0,Friday
2020-11-02,non_registered_export,57,118,47.4,156.0,Monday
2020-11-02,registered_export,14,57,14.3,559.5,Monday
2020-11-03,non_registered_export,52,116,38.5,230.5,Tuesday
2020-11-03,registered_export,95,453,1.1,516.0,Tuesday
2020-11-04,non_registered_export,52,111,34.6,92.5,Wednesday
2020-11-04,registered_export,107,561,0.0,531.0,Wednesday
2020-11-05,non_registered_export,73,176,39.7,229.0,Thursday
2020-11-05,registered_export,18,94,0.0,503.5,Thursday
2020-11-06,non_registered_export,36,79,36.1,168.0,Friday
2020-11-06,registered_export,83,361,2.4,424.0,Friday
2020-11-09,non_registered_export,41,82,46.3,142.0,Monday
2020-11-09,registered_export,80,330,2.5,490.0,Monday
2020-11-10,non_registered_export,46,110,39.1,194.5,Tuesday
2020-11-10,registered_export,94,471,0.0,521.0,Tuesday
2020-11-11,non_registered_export,45,96,40.0,90.0,Wednesday
2020-11-11,registered_export,69,331,1.4,519.0,Wednesday
2020-11-12,non_registered_export,63,161,33.3,161.0,Thursday
2020-11-12,registered_export,18,97,0.0,520.0,Thursday
2020-11-13,non_registered_export,54,125,37.0,259.5,Friday
2020-11-13,registered_export,14,70,0.0,637.5,Friday
2020-11-16,registered_export,22,109,0.0,521.5,Monday
2020-11-17,registered_export,19,88,5.3,561.0,Tuesday
2020-11-18,registered_export,18,94,0.0,475.5,Wednesday
2020-11-19,registered_export,12,52,8.3,597.5,Thursday
2020-11-20,registered_export,96,519,0.0,472.5,Friday
