day,sessions,events_per_session,single_event_pct,hot_pct,median_weight,p90_weight,trays,first,last,id_min,id_max
2020-10-05,41,4.51,4.88,95.12,516.0,1208.0,41,10:33,12:27,30,3101
2020-10-06,51,5.47,0.0,100.0,480.0,1169.0,51,10:32,12:40,96,3310
2020-10-07,65,4.43,0.0,96.92,472.0,1141.8,63,10:29,12:29,103,3328
2020-10-08,9,4.89,0.0,100.0,677.0,1051.2,9,10:43,13:00,1277,3302
2020-10-09,4,5.25,0.0,100.0,504.0,1069.3,4,10:37,11:45,585,1550
2020-10-12,61,5.02,0.0,100.0,508.0,1060.0,59,10:30,12:26,2,3258
2020-10-13,75,5.03,0.0,100.0,423.0,1071.2,73,10:29,12:33,5,3340
2020-10-14,71,5.48,0.0,98.59,495.0,854.0,70,10:30,12:31,110,3308
2020-10-15,2,3.5,0.0,100.0,352.0,400.8,2,11:54,12:17,35,188
2020-10-16,6,4.83,0.0,83.33,465.0,543.5,6,10:47,11:38,115,2135
2020-10-19,86,5.24,0.0,98.84,513.0,1246.5,82,10:31,12:50,29,3318
2020-10-20,87,5.4,1.15,98.85,517.0,1087.4,83,10:26,12:38,3,3313
2020-10-21,70,5.13,0.0,100.0,489.0,1056.2,67,10:32,12:25,12,3335
2020-10-22,5,5.2,0.0,100.0,648.0,725.0,5,10:47,11:22,910,3180
2020-10-23,10,4.6,0.0,90.0,518.0,621.8,10,10:31,11:27,67,2878
2020-10-26,88,4.53,1.14,93.18,498.0,1151.6,83,10:32,13:21,4,3339
2020-10-27,100,5.23,0.0,100.0,469.0,987.5,91,10:27,12:51,19,3336
2020-10-28,88,4.41,2.27,96.59,506.5,981.6,85,10:30,13:27,46,3291
2020-10-29,7,5.57,0.0,100.0,580.0,980.8,7,10:40,12:29,88,2605
2020-10-30,12,3.92,8.33,91.67,477.0,864.9,12,10:39,13:00,396,2977
2020-11-02,14,4.07,14.29,100.0,559.5,817.7,14,10:13,12:15,173,3189
2020-11-03,95,4.77,1.05,100.0,516.0,917.8,93,10:33,12:29,39,3341
2020-11-04,107,5.24,0.0,97.2,531.0,1380.6,101,10:31,12:22,90,3329
2020-11-05,18,5.22,0.0,100.0,503.5,673.9,18,10:32,12:35,265,3334
2020-11-06,83,4.35,2.41,91.57,424.0,610.2,83,10:30,12:34,40,3249
2020-11-09,80,4.12,2.5,95.0,490.0,760.5,79,10:31,13:12,11,3317
2020-11-10,94,5.01,0.0,94.68,521.0,807.0,87,10:32,13:03,51,3312
2020-11-11,69,4.8,1.45,94.2,519.0,869.0,69,10:31,12:03,44,3205
2020-11-12,18,5.39,0.0,100.0,520.0,1020.0,18,10:43,12:44,217,3277
2020-11-13,14,5.0,0.0,100.0,637.5,838.2,14,10:31,12:36,414,3203
2020-11-16,22,4.95,0.0,95.45,521.5,708.1,22,10:35,12:54,55,3149
2020-11-17,19,4.63,5.26,94.74,561.0,750.6,19,10:27,12:49,74,3179
2020-11-18,18,5.22,0.0,88.89,475.5,736.2,18,10:45,13:04,42,3104
2020-11-19,12,4.33,8.33,91.67,597.5,1103.4,12,10:48,14:18,531,3260
2020-11-20,96,5.41,0.0,98.96,472.5,884.5,90,10:30,13:00,17,3295
