session_id,population,component_weighing_event_count,derived_selected_meal_weight_g,distinct_component_count,distinct_raw_names,distinct_scales,first_weighing_at,last_weighing_at,identified_at,n_identified_values,n_trays,tray_id,source_file,n_files,has_hot,session_span_s,identified_minus_last_s,service_date,crossover,scale_identifier,component_name,w,weekday
session1048,registered_export,1,492,1,1,1,2020-10-28 12:19:08,2020-10-28 12:19:08,2020-10-28 12:21:10,1,1,tray584,registered_2020-10-25_2020-10-31.csv,1,True,0.0,122.0,2020-10-28,False,koti2-vasen-lammin6,Pehmeä broilerikeitto,492,Wednesday
session1053,registered_export,1,294,1,1,1,2020-11-02 10:16:12,2020-11-02 10:16:12,2020-11-02 10:16:47,1,1,tray67,registered_2020-11-02_2020-11-08.csv,1,True,0.0,35.0,2020-11-02,False,koti2-vasen-lammin3,CLASSIC CHICKEN GUMBO ,294,Monday
session133,registered_export,1,3,1,1,1,2020-10-05 11:19:47,2020-10-05 11:19:47,2020-10-05 11:25:04,1,1,tray52,registered_2020_10_05-2020_10_18.csv,1,False,0.0,317.0,2020-10-05,False,koti2-oikea-salaatti2,porkkana,3,Monday
session2132,registered_export,1,121,1,1,1,2020-11-06 12:18:14,2020-11-06 12:18:14,2020-11-06 12:19:23,1,1,tray633,registered_2020-11-02_2020-11-08.csv,1,False,0.0,69.0,2020-11-06,False,vege2-salaatti2,Grated carrot and swede,121,Friday
session2191,registered_export,1,145,1,1,1,2020-10-05 11:23:26,2020-10-05 11:23:26,2020-10-05 11:26:14,1,1,tray387,registered_2020_10_05-2020_10_18.csv,1,False,0.0,168.0,2020-10-05,False,koti2-oikea-salaatti2,porkkana,145,Monday
session2218,registered_export,1,46,1,1,1,2020-10-26 11:12:46,2020-10-26 11:12:46,2020-10-26 11:14:06,1,1,tray8,registered_2020-10-25_2020-10-31.csv,1,False,0.0,80.0,2020-10-26,False,koti2-vasen-salaatti2,Grated carrot,46,Monday
session2236,registered_export,1,3,1,1,1,2020-11-17 10:59:14,2020-11-17 10:59:14,2020-11-17 11:01:32,1,1,tray357,registered_2020-11-16_2020-11-20.csv,1,False,0.0,138.0,2020-11-17,False,koti2-oikea-salaatti2,Kaali,3,Tuesday
session2322,registered_export,1,4,1,1,1,2020-11-06 11:18:55,2020-11-06 11:18:55,2020-11-06 11:20:05,1,1,tray85,registered_2020-11-02_2020-11-08.csv,1,True,0.0,70.0,2020-11-06,False,vege2-lammin2,Soya and vegetable lasagnette,4,Friday
session2590,registered_export,1,127,1,1,1,2020-10-28 12:02:55,2020-10-28 12:02:55,2020-10-28 12:03:41,1,1,tray420,registered_2020-10-25_2020-10-31.csv,1,True,0.0,46.0,2020-10-28,False,koti2-oikea-lammin4,Breaded flounder,127,Wednesday
session2856,registered_export,1,38,1,1,1,2020-10-30 11:21:25,2020-10-30 11:21:25,2020-10-30 11:22:49,1,1,tray353,registered_2020-10-25_2020-10-31.csv,1,True,0.0,84.0,2020-10-30,False,koti2-vasen-lammin4,Mashed potatoes,38,Friday
session2898,registered_export,1,276,1,1,1,2020-11-09 13:12:36,2020-11-09 13:12:36,2020-11-09 13:13:32,1,1,tray674,registered_2020-11-09_2020-11-15.csv,1,True,0.0,56.0,2020-11-09,False,vege2-lammin2,vegan Stir fry,276,Monday
session3032,registered_export,1,161,1,1,1,2020-10-20 10:48:05,2020-10-20 10:48:05,2020-10-20 10:48:53,1,1,tray423,registered_2020-10-19_2020-10-25.csv,1,True,0.0,48.0,2020-10-20,False,koti2-oikea-lammin5,MAISSIPANEROITU SEI,161,Tuesday
session3145,registered_export,1,4,1,1,1,2020-11-11 11:19:13,2020-11-11 11:19:13,2020-11-11 11:20:35,1,1,tray219,registered_2020-11-09_2020-11-15.csv,1,False,0.0,82.0,2020-11-11,False,vege2-salaatti2,Grated carrots and cabbage,4,Wednesday
session504,registered_export,1,281,1,1,1,2020-11-03 11:28:53,2020-11-03 11:28:53,2020-11-03 11:29:44,1,1,tray118,registered_2020-11-02_2020-11-08.csv,1,True,0.0,51.0,2020-11-03,False,koti2-vasen-lammin3,Goalainen kalacurry,281,Tuesday
session828,registered_export,1,296,1,1,1,2020-11-02 10:14:50,2020-11-02 10:14:50,2020-11-02 10:15:15,1,1,tray437,registered_2020-11-02_2020-11-08.csv,1,True,0.0,25.0,2020-11-02,False,koti2-vasen-lammin6,Fish soup,296,Monday
session952,registered_export,1,565,1,1,1,2020-11-19 10:49:03,2020-11-19 10:49:03,2020-11-19 10:50:57,1,1,tray581,registered_2020-11-16_2020-11-20.csv,1,True,0.0,114.0,2020-11-19,False,vege2-lammin6,Vegetable pea soup,565,Thursday
session990,registered_export,1,71,1,1,1,2020-11-09 10:49:28,2020-11-09 10:49:28,2020-11-09 10:50:47,1,1,tray664,registered_2020-11-09_2020-11-15.csv,1,False,0.0,79.0,2020-11-09,False,koti2-oikea-salaatti3,Papu,71,Monday
