service_date,population,weekday,is_primary_population,sessions,quarantined_sessions,events,observed_regime,expected_regime,low_observed_volume_day,volume_irregularity,source_snapshot_id,source_files
2020-10-05,non_registered_export,Monday,false,53,0,104,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-05,registered_export,Monday,true,41,0,185,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-06,non_registered_export,Tuesday,false,58,0,141,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-06,registered_export,Tuesday,true,51,0,279,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-07,non_registered_export,Wednesday,false,46,0,103,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-07,registered_export,Wednesday,true,65,0,288,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-08,non_registered_export,Thursday,false,45,0,100,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-08,registered_export,Thursday,true,9,0,44,low,low,true,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-09,non_registered_export,Friday,false,63,0,155,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-09,registered_export,Friday,true,4,0,21,low,low,true,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-12,non_registered_export,Monday,false,43,0,105,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-12,registered_export,Monday,true,61,0,306,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-13,non_registered_export,Tuesday,false,62,0,159,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-13,registered_export,Tuesday,true,75,0,377,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-14,non_registered_export,Wednesday,false,67,1,182,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-14,registered_export,Wednesday,true,71,1,389,high,high,false,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-15,non_registered_export,Thursday,false,65,0,161,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-15,registered_export,Thursday,true,2,0,7,low,low,true,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-16,non_registered_export,Friday,false,43,0,97,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-05_2020-10-18.csv
2020-10-16,registered_export,Friday,true,6,0,29,low,low,true,false,flavoria-1b68c194acc5,registered_2020_10_05-2020_10_18.csv
2020-10-19,non_registered_export,Monday,false,41,0,92,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-19_2020-10-25.csv
2020-10-19,registered_export,Monday,true,86,0,451,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-19_2020-10-25.csv
2020-10-20,non_registered_export,Tuesday,false,64,0,170,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-19_2020-10-25.csv
2020-10-20,registered_export,Tuesday,true,87,0,470,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-19_2020-10-25.csv
2020-10-21,non_registered_export,Wednesday,false,57,0,152,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-19_2020-10-25.csv
2020-10-21,registered_export,Wednesday,true,70,0,359,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-19_2020-10-25.csv
2020-10-22,non_registered_export,Thursday,false,66,0,157,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-19_2020-10-25.csv
2020-10-22,registered_export,Thursday,true,5,0,26,low,low,true,false,flavoria-1b68c194acc5,registered_2020-10-19_2020-10-25.csv
2020-10-23,non_registered_export,Friday,false,62,0,127,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-19_2020-10-25.csv
2020-10-23,registered_export,Friday,true,10,0,46,low,low,true,false,flavoria-1b68c194acc5,registered_2020-10-19_2020-10-25.csv
2020-10-26,non_registered_export,Monday,false,47,0,122,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-25_2020-10-31.csv
2020-10-26,registered_export,Monday,true,88,0,399,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-25_2020-10-31.csv
2020-10-27,non_registered_export,Tuesday,false,56,0,149,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-25_2020-10-31.csv
2020-10-27,registered_export,Tuesday,true,100,0,523,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-25_2020-10-31.csv
2020-10-28,non_registered_export,Wednesday,false,54,0,127,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-25_2020-10-31.csv
2020-10-28,registered_export,Wednesday,true,88,0,388,high,high,false,false,flavoria-1b68c194acc5,registered_2020-10-25_2020-10-31.csv
2020-10-29,non_registered_export,Thursday,false,75,0,189,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-25_2020-10-31.csv
2020-10-29,registered_export,Thursday,true,7,0,39,low,low,true,false,flavoria-1b68c194acc5,registered_2020-10-25_2020-10-31.csv
2020-10-30,non_registered_export,Friday,false,58,0,134,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-10-25_2020-10-31.csv
2020-10-30,registered_export,Friday,true,12,0,47,low,low,true,false,flavoria-1b68c194acc5,registered_2020-10-25_2020-10-31.csv
2020-11-02,non_registered_export,Monday,false,57,0,118,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-02_2020-11-08.csv
2020-11-02,registered_export,Monday,true,14,0,57,low,high,true,true,flavoria-1b68c194acc5,registered_2020-11-02_2020-11-08.csv
2020-11-03,non_registered_export,Tuesday,false,52,0,116,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-02_2020-11-08.csv
2020-11-03,registered_export,Tuesday,true,95,0,453,high,high,false,false,flavoria-1b68c194acc5,registered_2020-11-02_2020-11-08.csv
2020-11-04,non_registered_export,Wednesday,false,52,0,111,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-02_2020-11-08.csv
2020-11-04,registered_export,Wednesday,true,107,0,561,high,high,false,false,flavoria-1b68c194acc5,registered_2020-11-02_2020-11-08.csv
2020-11-05,non_registered_export,Thursday,false,73,0,176,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-02_2020-11-08.csv
2020-11-05,registered_export,Thursday,true,18,0,94,low,low,true,false,flavoria-1b68c194acc5,registered_2020-11-02_2020-11-08.csv
2020-11-06,non_registered_export,Friday,false,36,0,79,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-02_2020-11-08.csv
2020-11-06,registered_export,Friday,true,83,0,361,high,low,false,true,flavoria-1b68c194acc5,registered_2020-11-02_2020-11-08.csv
2020-11-09,non_registered_export,Monday,false,41,1,82,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-09_2020-11-15.csv
2020-11-09,registered_export,Monday,true,80,1,330,high,high,false,false,flavoria-1b68c194acc5,registered_2020-11-09_2020-11-15.csv
2020-11-10,non_registered_export,Tuesday,false,46,0,110,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-09_2020-11-15.csv
2020-11-10,registered_export,Tuesday,true,94,0,471,high,high,false,false,flavoria-1b68c194acc5,registered_2020-11-09_2020-11-15.csv
2020-11-11,non_registered_export,Wednesday,false,45,0,96,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-09_2020-11-15.csv
2020-11-11,registered_export,Wednesday,true,69,0,331,high,high,false,false,flavoria-1b68c194acc5,registered_2020-11-09_2020-11-15.csv
2020-11-12,non_registered_export,Thursday,false,63,0,161,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-09_2020-11-15.csv
2020-11-12,registered_export,Thursday,true,18,0,97,low,low,true,false,flavoria-1b68c194acc5,registered_2020-11-09_2020-11-15.csv
2020-11-13,non_registered_export,Friday,false,54,0,125,high,,false,false,flavoria-1b68c194acc5,non_registered_2020-11-09_2020-11-15.csv
2020-11-13,registered_export,Friday,true,14,0,70,low,low,true,false,flavoria-1b68c194acc5,registered_2020-11-09_2020-11-15.csv
2020-11-16,registered_export,Monday,true,22,0,109,low,high,true,true,flavoria-1b68c194acc5,registered_2020-11-16_2020-11-20.csv
2020-11-17,registered_export,Tuesday,true,19,0,88,low,high,true,true,flavoria-1b68c194acc5,registered_2020-11-16_2020-11-20.csv
2020-11-18,registered_export,Wednesday,true,18,0,94,low,high,true,true,flavoria-1b68c194acc5,registered_2020-11-16_2020-11-20.csv
2020-11-19,registered_export,Thursday,true,12,0,52,low,low,true,false,flavoria-1b68c194acc5,registered_2020-11-16_2020-11-20.csv
2020-11-20,registered_export,Friday,true,96,0,519,high,low,false,true,flavoria-1b68c194acc5,registered_2020-11-16_2020-11-20.csv
