session_id,weighing_event_time,weighting_type,scale_identifier,weight_of_a_component,component_name,tray_id,user_identification_time,source_file,source_row_number,population,w,ts_format,t_naive,u_naive,t,u,tz_treatment,name_norm,station_family,scale_kind,service_date,dup,gap_s,prev_w,same_name_as_prev
session1006,2020-10-07 11:04:52,line,vege2-salaatti2,388,Hedelmäsalaatti,tray477,2020-10-07 11:07:12,non_registered_2020-10-05_2020-10-18.csv,642,non_registered_export,388,9999-99-99 99:99:99,2020-10-07 11:04:52,2020-10-07 11:07:12,2020-10-07 11:04:52,2020-10-07 11:07:12,SOURCE_LOCAL_ASSUMED,hedelmäsalaatti,vege2,salaatti,2020-10-07,False,8.0,387.0,True
session1006,2020-10-07 11:04:56,line,vege2-salaatti2,112,Hedelmäsalaatti,tray477,2020-10-07 11:07:12,non_registered_2020-10-05_2020-10-18.csv,643,non_registered_export,112,9999-99-99 99:99:99,2020-10-07 11:04:56,2020-10-07 11:07:12,2020-10-07 11:04:56,2020-10-07 11:07:12,SOURCE_LOCAL_ASSUMED,hedelmäsalaatti,vege2,salaatti,2020-10-07,False,4.0,388.0,True
session1435,2020-10-20 10:49:04,line,koti2-oikea-salaatti2,37,Grated cabbage,tray296,2020-10-20 10:52:09,non_registered_2020-10-19_2020-10-25.csv,537,non_registered_export,37,9999-99-99 99:99:99,2020-10-20 10:49:04,2020-10-20 10:52:09,2020-10-20 10:49:04,2020-10-20 10:52:09,SOURCE_LOCAL_ASSUMED,grated cabbage,koti2,salaatti,2020-10-20,False,9.0,667.0,True
session1558,2020-10-12 12:02:45,line,koti2-vasen-lammin4,75,Rice,tray588,2020-10-12 12:04:39,non_registered_2020-10-05_2020-10-18.csv,1064,non_registered_export,75,9999-99-99 99:99:99,2020-10-12 12:02:45,2020-10-12 12:04:39,2020-10-12 12:02:45,2020-10-12 12:04:39,SOURCE_LOCAL_ASSUMED,rice,koti2,lammin,2020-10-12,False,14.0,13.0,True
session1714,2020-10-28 11:49:59,,koti2-oikea-salaatti1,64,American salad,tray411,2020-10-28 11:51:58,non_registered_2020-10-25_2020-10-31.csv,717,non_registered_export,64,9999-99-99 99:99:99,2020-10-28 11:49:59,2020-10-28 11:51:58,2020-10-28 11:49:59,2020-10-28 11:51:58,SOURCE_LOCAL_ASSUMED,american salad,koti2,salaatti,2020-10-28,False,8.0,449.0,True
session1809,2020-10-28 13:18:59,,koti2-oikea-salaatti2,44,Grated carrot and radish,tray373,2020-10-28 13:20:08,non_registered_2020-10-25_2020-10-31.csv,78,non_registered_export,44,9999-99-99 99:99:99,2020-10-28 13:18:59,2020-10-28 13:20:08,2020-10-28 13:18:59,2020-10-28 13:20:08,SOURCE_LOCAL_ASSUMED,grated carrot and radish,koti2,salaatti,2020-10-28,False,23.0,60.0,True
session2261,2020-10-08 11:53:19,line,koti2-vasen-lammin4,458,Pea soup,tray169,2020-10-08 11:54:30,non_registered_2020-10-05_2020-10-18.csv,1047,non_registered_export,458,9999-99-99 99:99:99,2020-10-08 11:53:19,2020-10-08 11:54:30,2020-10-08 11:53:19,2020-10-08 11:54:30,SOURCE_LOCAL_ASSUMED,pea soup,koti2,lammin,2020-10-08,False,18.0,528.0,True
session2530,2020-10-30 11:47:37,,koti2-oikea-salaatti1,20,American salad,tray146,2020-10-30 11:50:13,non_registered_2020-10-25_2020-10-31.csv,523,non_registered_export,20,9999-99-99 99:99:99,2020-10-30 11:47:37,2020-10-30 11:50:13,2020-10-30 11:47:37,2020-10-30 11:50:13,SOURCE_LOCAL_ASSUMED,american salad,koti2,salaatti,2020-10-30,False,27.0,6.0,True
session2534,2020-10-12 13:21:12,line,koti2-oikea-lammin2,432,Peppery meat stew,tray207,2020-10-12 13:21:35,non_registered_2020-10-05_2020-10-18.csv,1285,non_registered_export,432,9999-99-99 99:99:99,2020-10-12 13:21:12,2020-10-12 13:21:35,2020-10-12 13:21:12,2020-10-12 13:21:35,SOURCE_LOCAL_ASSUMED,peppery meat stew,koti2,lammin,2020-10-12,False,14.0,133.0,True
session3219,2020-11-11 11:27:12,,koti2-oikea-lammin2,4,CHICKEN CHILI NOODLE WOK ,tray405,2020.11.11 11:27:36,non_registered_2020-11-09_2020-11-15.csv,185,non_registered_export,4,9999-99-99 99:99:99,2020-11-11 11:27:12,2020-11-11 11:27:36,2020-11-11 11:27:12,2020-11-11 11:27:36,SOURCE_LOCAL_ASSUMED,chicken chili noodle wok,koti2,lammin,2020-11-11,False,146.0,11.0,True
session456,2020-10-07 10:45:19,line,koti2-vasen-salaatti1,64,American salad,tray124,2020-10-07 10:46:46,non_registered_2020-10-05_2020-10-18.csv,700,non_registered_export,64,9999-99-99 99:99:99,2020-10-07 10:45:19,2020-10-07 10:46:46,2020-10-07 10:45:19,2020-10-07 10:46:46,SOURCE_LOCAL_ASSUMED,american salad,koti2,salaatti,2020-10-07,False,9.0,2.0,True
session1004,2020-10-20 10:39:28,line,vege2-salaatti1,21,American salad,tray412,2020-10-20 10:41:16,registered_2020-10-19_2020-10-25.csv,1124,registered_export,21,9999-99-99 99:99:99,2020-10-20 10:39:28,2020-10-20 10:41:16,2020-10-20 10:39:28,2020-10-20 10:41:16,SOURCE_LOCAL_ASSUMED,american salad,vege2,salaatti,2020-10-20,False,13.0,853.0,True
session1074,2020.10.05 07:48:14,line,vege2-salaatti1,53,American salad,tray404,2020.10.05 07:51:36,registered_2020_10_05-2020_10_18.csv,1459,registered_export,53,9999.99.99 99:99:99,2020-10-05 07:48:14,2020-10-05 07:51:36,2020-10-05 10:48:14,2020-10-05 10:51:36,NORMALISED_PLUS_3H_STRONGEST_SUPPORT,american salad,vege2,salaatti,2020-10-05,False,11.0,887.0,True
session1075,2020-10-26 12:14:20,,vege2-lammin1,67,Pasta,tray109,2020-10-26 12:15:32,registered_2020-10-25_2020-10-31.csv,652,registered_export,67,9999-99-99 99:99:99,2020-10-26 12:14:20,2020-10-26 12:15:32,2020-10-26 12:14:20,2020-10-26 12:15:32,SOURCE_LOCAL_ASSUMED,pasta,vege2,lammin,2020-10-26,False,6.0,268.0,True
