source_file,population,schema_variant,timezone_handling,timezone_offset_hours_applied,rows_verified_at_ingestion,rows_staged,distinct_sessions,first_event_time_raw,last_event_time_raw,first_event_canonical_utc,last_event_canonical_utc,rows_with_non_ok_time_status,rows_with_non_ok_row_status,rows_with_non_integer_weight
non_registered_2020-10-05_2020-10-18.csv,non_registered_export,V8_with_weighting_type,SOURCE_LOCAL_ASSUMED,0,1313,1313,546,2020-10-05 10:27:29,2020-10-16 14:43:15,2020-10-05T07:27:29Z,2020-10-16T11:43:15Z,0,0,0
non_registered_2020-10-19_2020-10-25.csv,non_registered_export,V8_with_weighting_type,SOURCE_LOCAL_ASSUMED,0,698,698,290,2020-10-19 10:34:18,2020-10-23 13:22:21,2020-10-19T07:34:18Z,2020-10-23T10:22:21Z,0,0,0
non_registered_2020-10-25_2020-10-31.csv,non_registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,721,721,290,2020-10-26 10:31:35,2020-10-30 13:17:35,2020-10-26T08:31:35Z,2020-10-30T11:17:35Z,0,0,0
non_registered_2020-11-02_2020-11-08.csv,non_registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,600,600,270,2020-11-02 10:32:54,2020-11-06 13:15:23,2020-11-02T08:32:54Z,2020-11-06T11:15:23Z,0,0,0
non_registered_2020-11-09_2020-11-15.csv,non_registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,580,580,250,2020-11-09 10:37:32,2020-11-13 13:07:56,2020-11-09T08:37:32Z,2020-11-13T11:07:56Z,0,0,0
registered_2020-10-19_2020-10-25.csv,registered_export,V8_with_weighting_type,SOURCE_LOCAL_ASSUMED,0,1352,1352,258,2020-10-19 10:31:11,2020-10-23 11:28:26,2020-10-19T07:31:11Z,2020-10-23T08:28:26Z,0,0,0
registered_2020-10-25_2020-10-31.csv,registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,1396,1396,295,2020-10-26 10:32:08,2020-10-30 13:01:27,2020-10-26T08:32:08Z,2020-10-30T11:01:27Z,0,0,0
registered_2020-11-02_2020-11-08.csv,registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,1526,1526,317,2020-11-02 10:13:08,2020-11-06 12:34:45,2020-11-02T08:13:08Z,2020-11-06T10:34:45Z,0,0,0
registered_2020-11-09_2020-11-15.csv,registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,1305,1305,276,2020-11-09 10:31:41,2020-11-13 12:37:44,2020-11-09T08:31:41Z,2020-11-13T10:37:44Z,0,0,0
registered_2020-11-16_2020-11-20.csv,registered_export,V7_without_weighting_type,SOURCE_LOCAL_ASSUMED,0,862,862,167,2020-11-16 10:35:58,2020-11-20 13:03:52,2020-11-16T08:35:58Z,2020-11-20T11:03:52Z,0,0,0
registered_2020_10_05-2020_10_18.csv,registered_export,V8_with_weighting_type,NORMALISED_PLUS_3H_STRONGEST_SUPPORT,3,1931,1931,386,2020.10.05 07:33:07,2020.10.16 08:38:59,2020-10-05T07:33:07Z,2020-10-16T08:38:59Z,0,0,0
